booking_id,customer_id,status,check_in,check_out,no_of_rooms,hotel_id,,amount,discount,date_of_booking
786,57879,Cancelled,2022-01-03,2022-01-04,1,808,,2794,710,2022-01-02
83,68240,Stayed,2022-01-02,2022-01-03,1,245,,2005,425,2022-01-02
312,88939,Stayed,2022-01-02,2022-01-03,1,570,,3769,798,2022-01-02
314,88939,Stayed,2022-01-03,2022-01-04,1,570,,3509,891,2022-01-02
704,106977,Cancelled,2022-01-04,2022-01-05,1,58,,2534,644,2022-01-02
109,108129,Stayed,2022-01-02,2022-01-03,1,938,,2469,523,2022-01-02
846,120340,Stayed,2022-01-03,2022-01-04,1,330,,6824,1502,2022-01-02
31,120371,Stayed,2022-01-02,2022-01-03,1,755,,3184,809,2022-01-02
809,121394,Stayed,2022-01-03,2022-01-05,1,628,,3726,789,2022-01-02
379,124801,Cancelled,2022-01-02,2022-01-03,1,716,,3379,858,2022-01-02
434,126821,Stayed,2022-01-03,2022-01-04,2,62,,5327,1352,2022-01-02
435,126821,Stayed,2022-01-03,2022-01-04,1,62,,2664,677,2022-01-02
391,130118,No Show,2022-01-15,2022-01-16,1,147,,4029,853,2022-01-02
433,136431,Stayed,2022-01-02,2022-01-03,1,62,,2794,591,2022-01-02
41,145504,Stayed,2022-01-03,2022-01-05,1,232,,3510,891,2022-01-02
763,150171,Cancelled,2022-01-02,2022-01-03,1,655,,3509,743,2022-01-02
18,161206,Stayed,2022-01-03,2022-01-04,1,109,,2859,605,2022-01-02
418,161755,Cancelled,2022-01-02,2022-01-03,1,380,,1949,495,2022-01-02
653,162890,No Show,2022-01-07,2022-01-08,1,50,,2664,677,2022-01-02
675,187489,Cancelled,2022-01-06,2022-01-07,1,239,,2153,547,2022-01-02
244,188854,Stayed,2022-01-03,2022-01-04,1,315,,3704,941,2022-01-02
785,7326,Stayed,2022-01-03,2022-01-04,1,808,,1884,479,2022-01-03
588,8605,Cancelled,2022-01-04,2022-01-05,1,955,,2144,545,2022-01-03
470,13139,Cancelled,2022-01-04,2022-01-05,1,21,,2144,545,2022-01-03
471,13139,Cancelled,2022-01-03,2022-01-04,1,21,,2144,545,2022-01-03
948,17878,Cancelled,2022-01-06,2022-01-07,1,162,,2484,630,2022-01-03
594,21152,Stayed,2022-01-04,2022-01-05,1,243,,2014,443,2022-01-03
311,27204,Cancelled,2022-01-08,2022-01-10,1,570,,9227,2420,2022-01-03
28,42387,Stayed,2022-01-09,2022-01-11,1,88,,4077,1035,2022-01-03
60,46140,Stayed,2022-01-09,2022-01-11,2,153,,12995,3409,2022-01-03
63,59454,Cancelled,2022-01-06,2022-01-08,1,128,,8577,2177,2022-01-03
64,59454,Cancelled,2022-01-05,2022-01-06,1,128,,4289,1089,2022-01-03
730,59877,Cancelled,2022-01-04,2022-01-05,1,417,,2408,509,2022-01-03
743,61602,Cancelled,2022-01-04,2022-01-05,1,459,,2534,644,2022-01-03
29,68800,Cancelled,2022-01-04,2022-01-06,1,88,,6510,1652,2022-01-03
899,71996,Stayed,2022-01-08,2022-01-10,1,186,,5457,1385,2022-01-03
11,77745,Stayed,2022-01-03,2022-01-04,1,571,,4679,1188,2022-01-03
12,77745,Cancelled,2022-01-03,2022-01-04,1,571,,4679,1188,2022-01-03
13,77745,Cancelled,2022-01-03,2022-01-04,1,571,,4679,1188,2022-01-03
159,79360,Stayed,2022-01-03,2022-01-04,1,244,,2209,561,2022-01-03
378,82702,Cancelled,2022-01-06,2022-01-08,1,716,,6887,1748,2022-01-03
414,82702,Stayed,2022-01-06,2022-01-08,1,579,,4547,1154,2022-01-03
577,83735,Stayed,2022-01-05,2022-01-06,1,629,,2079,528,2022-01-03
313,88939,Stayed,2022-01-04,2022-01-05,1,570,,3119,792,2022-01-03
544,99794,Stayed,2022-01-03,2022-01-04,1,449,,2042,536,2022-01-03
810,103317,Stayed,2022-01-03,2022-01-04,1,628,,2236,568,2022-01-03
411,110402,Cancelled,2022-01-06,2022-01-07,1,348,,1949,495,2022-01-03
232,119466,Cancelled,2022-01-04,2022-01-05,1,299,,3639,924,2022-01-03
663,128702,Cancelled,2022-01-07,2022-01-08,1,241,,1949,495,2022-01-03
578,136431,Stayed,2022-01-03,2022-01-04,1,629,,2209,561,2022-01-03
567,137115,Stayed,2022-01-06,2022-01-07,1,207,,1884,479,2022-01-03
907,141373,Stayed,2022-01-04,2022-01-05,1,261,,2144,545,2022-01-03
299,143338,Stayed,2022-01-03,2022-01-04,1,170,,2209,561,2022-01-03
192,154952,Stayed,2022-01-26,2022-01-27,1,280,,1832,387,2022-01-03
998,158173,Stayed,2022-01-03,2022-01-04,1,754,,4744,1205,2022-01-03
586,178968,Stayed,2022-01-03,2022-01-04,1,955,,1819,462,2022-01-03
656,3449,Stayed,2022-01-04,2022-01-05,1,50,,2989,759,2022-01-04
531,4595,Cancelled,2022-01-06,2022-01-07,1,37,,2339,594,2022-01-04
784,7326,Stayed,2022-01-04,2022-01-05,1,808,,1884,479,2022-01-04
135,12023,Stayed,2022-01-07,2022-01-08,1,894,,2794,710,2022-01-04
290,19017,Cancelled,2022-01-06,2022-01-07,1,397,,5069,1287,2022-01-04
739,26536,Cancelled,2022-02-09,2022-02-10,1,365,,1819,0,2022-01-04
949,35923,Cancelled,2022-01-04,2022-01-05,1,162,,1665,422,2022-01-04
918,37981,Stayed,2022-01-04,2022-01-05,1,59,,1884,494,2022-01-04
158,49442,Cancelled,2022-01-05,2022-01-06,1,244,,2079,528,2022-01-04
728,50174,Stayed,2022-01-04,2022-01-05,1,417,,2566,651,2022-01-04
729,50174,Cancelled,2022-01-04,2022-01-05,1,417,,2951,649,2022-01-04
640,59866,Stayed,2022-01-04,2022-01-05,1,346,,1949,512,2022-01-04
282,75870,Stayed,2022-01-04,2022-01-05,1,473,,2144,545,2022-01-04
410,80621,Cancelled,2022-01-08,2022-01-09,1,960,,3169,832,2022-01-04
797,81775,Cancelled,2022-01-23,2022-01-24,1,704,,2469,523,2022-01-04
57,89928,Stayed,2022-01-06,2022-01-07,2,486,,5067,1286,2022-01-04
982,92590,Cancelled,2022-01-28,2022-01-29,1,677,,3119,660,2022-01-04
781,96106,Stayed,2022-01-18,2022-01-21,1,808,,6431,1632,2022-01-04
204,119500,Cancelled,2022-01-04,2022-01-05,1,219,,2209,561,2022-01-04
845,120340,Stayed,2022-01-04,2022-01-05,1,330,,6499,1650,2022-01-04
792,131261,Cancelled,2022-01-05,2022-01-06,1,342,,2339,594,2022-01-04
582,134836,Stayed,2022-01-12,2022-01-13,1,16,,3119,792,2022-01-04
906,141373,Stayed,2022-01-05,2022-01-06,1,261,,2079,528,2022-01-04
298,143338,Stayed,2022-01-04,2022-01-05,1,170,,2014,512,2022-01-04
665,146622,Stayed,2022-01-04,2022-01-05,1,241,,2014,512,2022-01-04
381,163768,Stayed,2022-01-06,2022-01-08,1,135,,5457,1431,2022-01-04
48,164024,Stayed,2022-01-04,2022-01-05,1,160,,2924,767,2022-01-04
281,165056,Stayed,2022-01-05,2022-01-06,1,473,,2469,648,2022-01-04
664,182860,Stayed,2022-01-05,2022-01-06,1,241,,2014,512,2022-01-04
888,183245,Cancelled,2022-01-07,2022-01-08,1,117,,5589,1419,2022-01-04
654,3449,Stayed,2022-01-05,2022-01-06,1,50,,2989,759,2022-01-05
532,3770,Stayed,2022-01-05,2022-01-06,1,37,,2339,594,2022-01-05
984,4675,Stayed,2022-01-13,2022-01-14,1,677,,2404,508,2022-01-05
518,11332,Stayed,2022-01-08,2022-01-14,1,420,,11692,2968,2022-01-05
517,13139,Cancelled,2022-01-05,2022-01-06,1,33,,2144,545,2022-01-05
872,13794,Cancelled,2022-01-06,2022-01-07,1,234,,4874,1278,2022-01-05
896,14742,Stayed,2022-01-05,2022-01-06,1,546,,6044,1535,2022-01-05
597,18314,Cancelled,2022-01-06,2022-01-07,1,399,,2534,644,2022-01-05
376,23913,Stayed,2022-01-05,2022-01-06,1,716,,2859,726,2022-01-05
377,23913,Cancelled,2022-01-05,2022-01-06,1,716,,3119,818,2022-01-05
388,23913,Cancelled,2022-01-05,2022-01-06,1,25,,3054,776,2022-01-05
187,33193,Stayed,2022-01-05,2022-01-06,1,691,,2648,672,2022-01-05
788,42878,Cancelled,2022-01-27,2022-01-30,2,703,,19297,4245,2022-01-05
173,43374,Stayed,2022-01-06,2022-01-07,2,757,,6201,1574,2022-01-05
132,47942,Stayed,2022-01-15,2022-01-16,1,84,,1819,462,2022-01-05
34,49442,Stayed,2022-01-05,2022-01-06,1,859,,2144,545,2022-01-05
134,49619,Stayed,2022-01-27,2022-01-29,1,894,,6627,1682,2022-01-05
136,49619,Cancelled,2022-01-27,2022-01-29,1,894,,5847,1238,2022-01-05
62,59454,Cancelled,2022-01-05,2022-01-08,1,128,,12281,3117,2022-01-05
947,60406,Cancelled,2022-01-06,2022-01-07,1,162,,3649,926,2022-01-05
284,62184,Cancelled,2022-01-07,2022-01-08,1,473,,2469,627,2022-01-05
75,66504,Stayed,2022-01-06,2022-01-09,1,583,,6104,1291,2022-01-05
95,66504,Cancelled,2022-01-05,2022-01-06,1,944,,1745,370,2022-01-05
770,69073,Stayed,2022-01-06,2022-01-07,1,505,,2209,561,2022-01-05
993,72656,Cancelled,2022-01-09,2022-01-13,1,614,,11695,2969,2022-01-05
999,72656,Stayed,2022-01-09,2022-01-13,1,509,,12215,3101,2022-01-05
400,74325,No Show,2022-01-05,2022-01-06,1,366,,2062,541,2022-01-05
756,77935,Stayed,2022-01-06,2022-01-07,1,522,,1949,495,2022-01-05
893,90036,Stayed,2022-01-06,2022-01-07,1,68,,4029,1023,2022-01-05
343,92904,Cancelled,2022-01-12,2022-01-13,1,296,,3444,728,2022-01-05
359,92904,Cancelled,2022-01-11,2022-01-12,1,92,,3054,646,2022-01-05
363,92904,Stayed,2022-01-10,2022-01-11,1,205,,2599,550,2022-01-05
401,93264,Stayed,2022-01-05,2022-01-06,1,366,,1300,330,2022-01-05
161,95113,Stayed,2022-01-06,2022-01-09,1,408,,6626,1682,2022-01-05
195,100627,Cancelled,2022-01-08,2022-01-09,1,633,,4289,1089,2022-01-05
196,100627,Cancelled,2022-01-08,2022-01-09,1,888,,3379,858,2022-01-05
133,115548,No Show,2022-01-06,2022-01-09,1,84,,5456,0,2022-01-05
741,141761,Cancelled,2022-01-05,2022-01-06,1,365,,1754,0,2022-01-05
707,146584,Cancelled,2022-01-05,2022-01-06,1,448,,2079,528,2022-01-05
833,148275,Stayed,2022-01-05,2022-01-06,1,124,,1314,333,2022-01-05
47,148431,Stayed,2022-01-05,2022-01-06,1,684,,2794,710,2022-01-05
655,149241,Stayed,2022-01-05,2022-01-06,1,50,,2989,759,2022-01-05
831,152455,Cancelled,2022-01-22,2022-01-24,1,124,,6201,1312,2022-01-05
205,160575,Cancelled,2022-01-07,2022-01-08,1,637,,2339,594,2022-01-05
465,160722,Stayed,2022-01-05,2022-01-06,1,263,,1819,462,2022-01-05
76,163261,Cancelled,2022-01-06,2022-01-07,1,583,,2274,578,2022-01-05
894,168358,Stayed,2022-01-05,2022-01-06,1,68,,4419,1122,2022-01-05
639,175626,Cancelled,2022-01-05,2022-01-06,1,346,,2404,630,2022-01-05
607,181852,Stayed,2022-01-05,2022-01-06,1,131,,1624,426,2022-01-05
249,189124,Stayed,2022-01-05,2022-01-06,1,557,,2989,759,2022-01-05
638,192035,Stayed,2022-01-07,2022-01-08,1,346,,2404,611,2022-01-05
490,193175,Stayed,2022-01-05,2022-01-06,1,3,,2144,545,2022-01-05
334,195741,No Show,2022-01-10,2022-01-11,1,301,,2859,605,2022-01-05
575,197313,Stayed,2022-01-06,2022-01-08,1,629,,4157,914,2022-01-05
280,5049,Stayed,2022-01-08,2022-01-09,1,473,,2469,627,2022-01-06
488,6033,Cancelled,2022-01-07,2022-01-08,1,3,,2209,580,2022-01-06
319,9198,Stayed,2022-01-06,2022-01-07,1,901,,4354,1106,2022-01-06
702,9338,Stayed,2022-01-06,2022-01-07,1,58,,3574,937,2022-01-06
524,13951,Stayed,2022-01-07,2022-01-09,1,305,,4547,1154,2022-01-06
762,16744,Stayed,2022-01-06,2022-01-07,1,323,,2339,594,2022-01-06
289,19017,No Show,2022-01-08,2022-01-09,1,397,,5069,1287,2022-01-06
358,38803,Stayed,2022-01-09,2022-01-13,1,92,,10395,2639,2022-01-06
844,43500,Stayed,2022-01-10,2022-01-12,1,330,,11697,2969,2022-01-06
14,55369,Cancelled,2022-02-13,2022-02-15,1,109,,7927,1678,2022-01-06
685,59634,Cancelled,2022-01-07,2022-01-08,1,77,,2640,670,2022-01-06
943,60406,Stayed,2022-01-06,2022-01-07,1,162,,2588,657,2022-01-06
924,61396,Cancelled,2022-01-07,2022-01-08,2,670,,6367,1616,2022-01-06
354,63032,Stayed,2022-01-06,2022-01-07,1,331,,2274,578,2022-01-06
917,68922,Stayed,2022-01-07,2022-01-08,1,59,,2339,594,2022-01-06
874,75950,Stayed,2022-01-06,2022-01-07,1,885,,2079,528,2022-01-06
783,81480,Cancelled,2022-01-06,2022-01-07,1,808,,2079,528,2022-01-06
172,97775,Stayed,2022-01-07,2022-01-08,1,757,,3101,788,2022-01-06
174,97775,Cancelled,2022-01-08,2022-01-09,1,757,,3000,761,2022-01-06
82,103003,Cancelled,2022-01-06,2022-01-07,1,245,,2977,756,2022-01-06
751,111153,Stayed,2022-01-21,2022-01-22,1,522,,2599,550,2022-01-06
308,112633,Cancelled,2022-01-07,2022-01-08,1,229,,3379,858,2022-01-06
353,128226,Stayed,2022-01-07,2022-01-10,1,331,,7406,1880,2022-01-06
928,133115,Stayed,2022-01-06,2022-01-09,1,217,,7211,1830,2022-01-06
703,135460,Cancelled,2022-01-06,2022-01-08,1,58,,7277,1847,2022-01-06
186,137492,Stayed,2022-01-06,2022-01-07,1,691,,1563,331,2022-01-06
120,137573,Cancelled,2022-01-06,2022-01-07,1,597,,2729,693,2022-01-06
946,140493,No Show,2022-01-06,2022-01-07,2,162,,6786,1723,2022-01-06
190,154952,Stayed,2022-01-27,2022-01-28,1,280,,1832,387,2022-01-06
191,154952,Cancelled,2022-01-28,2022-01-29,1,280,,1832,387,2022-01-06
61,156920,Cancelled,2022-01-07,2022-01-08,1,128,,3379,858,2022-01-06
953,185192,Stayed,2022-01-16,2022-01-18,1,203,,4157,880,2022-01-06
727,190841,Stayed,2022-01-06,2022-01-07,1,417,,2270,576,2022-01-06
489,193175,Stayed,2022-01-06,2022-01-07,1,3,,2339,594,2022-01-06
415,194124,Stayed,2022-01-06,2022-01-07,1,579,,1819,462,2022-01-06
875,198997,Cancelled,2022-01-06,2022-01-12,1,885,,18057,4737,2022-01-06
270,7412,Cancelled,2022-01-20,2022-01-21,1,884,,4744,1003,2022-01-07
648,7412,Stayed,2022-01-20,2022-01-21,1,50,,2924,618,2022-01-07
551,12485,Stayed,2022-01-07,2022-01-08,1,13,,2209,561,2022-01-07
110,16015,Stayed,2022-01-07,2022-01-08,1,475,,1457,370,2022-01-07
811,16808,Cancelled,2022-01-07,2022-01-08,2,599,,3767,956,2022-01-07
834,16808,Stayed,2022-01-07,2022-01-08,2,268,,4027,1022,2022-01-07
701,20026,Stayed,2022-01-08,2022-01-09,1,58,,2859,726,2022-01-07
309,27204,Stayed,2022-01-09,2022-01-10,1,570,,2924,767,2022-01-07
310,27204,Stayed,2022-01-08,2022-01-09,1,570,,2794,733,2022-01-07
652,35292,Stayed,2022-01-07,2022-01-08,1,50,,3834,974,2022-01-07
761,44356,Stayed,2022-01-07,2022-01-08,1,323,,2339,594,2022-01-07
387,50641,Cancelled,2022-01-08,2022-01-09,1,25,,3444,0,2022-01-07
764,62188,Stayed,2022-01-07,2022-01-10,1,478,,7016,1781,2022-01-07
365,65796,Stayed,2022-01-07,2022-01-08,1,205,,2274,501,2022-01-07
651,65873,Stayed,2022-01-08,2022-01-09,1,50,,3119,792,2022-01-07
684,69402,Stayed,2022-01-07,2022-01-08,1,77,,2852,724,2022-01-07
515,85376,Stayed,2022-01-07,2022-01-08,1,33,,2729,693,2022-01-07
892,90036,Stayed,2022-01-07,2022-01-08,1,68,,5004,1271,2022-01-07
255,107631,Stayed,2022-01-08,2022-01-09,1,132,,3509,921,2022-01-07
40,119048,Cancelled,2022-01-07,2022-01-08,1,232,,3227,820,2022-01-07
512,119112,Cancelled,2022-01-14,2022-01-15,1,33,,2209,468,2022-01-07
69,122584,Stayed,2022-01-09,2022-01-11,1,846,,5717,1451,2022-01-07
542,128702,Stayed,2022-01-07,2022-01-08,1,449,,2349,596,2022-01-07
119,137573,Cancelled,2022-01-19,2022-01-20,1,597,,2664,563,2022-01-07
525,141491,Stayed,2022-01-07,2022-01-08,1,305,,2274,578,2022-01-07
740,146622,Stayed,2022-01-07,2022-01-08,1,365,,1949,0,2022-01-07
30,148431,Stayed,2022-01-07,2022-01-08,1,755,,4224,1073,2022-01-07
541,152685,Cancelled,2022-01-08,2022-01-09,1,449,,2757,700,2022-01-07
367,153421,Cancelled,2022-01-10,2022-01-11,1,205,,2274,501,2022-01-07
368,153421,Cancelled,2022-01-13,2022-01-14,1,205,,3054,672,2022-01-07
369,153421,Cancelled,2022-01-12,2022-01-13,1,205,,3054,672,2022-01-07
793,173521,Stayed,2022-01-10,2022-01-13,1,345,,7601,1929,2022-01-07
241,188854,Stayed,2022-01-09,2022-01-10,1,315,,3639,924,2022-01-07
832,191500,Cancelled,2022-01-09,2022-01-10,1,124,,2044,519,2022-01-07
637,192035,Stayed,2022-01-08,2022-01-09,1,346,,2729,693,2022-01-07
166,195788,No Show,2022-01-08,2022-01-09,1,554,,2014,512,2022-01-07
985,199293,Stayed,2022-01-07,2022-01-08,1,677,,2274,578,2022-01-07
754,3145,Stayed,2022-01-08,2022-01-09,1,522,,1884,494,2022-01-08
777,3929,Stayed,2022-01-08,2022-01-09,2,877,,5327,1352,2022-01-08
733,13378,Cancelled,2022-01-25,2022-01-26,1,417,,2090,442,2022-01-08
438,16277,Cancelled,2022-03-03,2022-03-10,1,233,,27937,5910,2022-01-08
566,21052,Stayed,2022-01-09,2022-01-10,1,207,,2014,512,2022-01-08
887,48699,Stayed,2022-01-09,2022-01-11,1,117,,9877,2507,2022-01-08
464,51987,Stayed,2022-01-08,2022-01-09,1,263,,2014,512,2022-01-08
16,60231,Stayed,2022-01-08,2022-01-09,1,109,,1949,1100,2022-01-08
366,65796,Stayed,2022-01-08,2022-01-09,1,205,,2274,578,2022-01-08
409,74325,Stayed,2022-01-08,2022-01-09,1,960,,1300,341,2022-01-08
683,75870,Cancelled,2022-01-08,2022-01-09,1,77,,2423,615,2022-01-08
152,77179,Stayed,2022-01-09,2022-01-13,1,106,,9027,2291,2022-01-08
344,126313,Stayed,2022-01-10,2022-01-11,1,296,,3054,801,2022-01-08
916,127919,Stayed,2022-01-08,2022-01-09,1,59,,1559,396,2022-01-08
242,133250,Stayed,2022-01-08,2022-01-09,1,315,,3639,924,2022-01-08
370,153421,Cancelled,2022-01-11,2022-01-12,1,205,,2729,716,2022-01-08
915,161333,Stayed,2022-01-08,2022-01-09,1,59,,1559,396,2022-01-08
188,171363,Stayed,2022-01-09,2022-01-10,1,691,,1859,472,2022-01-08
623,171782,Stayed,2022-01-09,2022-01-10,1,653,,1754,446,2022-01-08
778,3929,Stayed,2022-01-10,2022-01-11,1,877,,3054,801,2022-01-09
779,3929,Stayed,2022-01-09,2022-01-10,2,877,,5327,1397,2022-01-09
487,5977,Stayed,2022-01-09,2022-01-10,1,3,,926,235,2022-01-09
503,13131,Stayed,2022-01-21,2022-01-22,1,33,,2144,453,2022-01-09
940,15533,Stayed,2022-01-09,2022-01-10,1,162,,3901,990,2022-01-09
202,21667,Stayed,2022-01-10,2022-01-12,1,627,,3224,846,2022-01-09
139,33288,Stayed,2022-01-11,2022-01-12,1,612,,2599,660,2022-01-09
682,33581,Stayed,2022-01-11,2022-01-12,1,77,,2363,501,2022-01-09
100,37423,Stayed,2022-01-16,2022-01-20,1,86,,10587,2240,2022-01-09
15,42531,Stayed,2022-01-09,2022-01-10,1,109,,1949,1100,2022-01-09
352,45412,Stayed,2022-01-10,2022-01-11,1,331,,2469,627,2022-01-09
695,52445,Stayed,2022-01-11,2022-01-12,1,364,,2079,440,2022-01-09
337,60557,Cancelled,2022-01-10,2022-01-11,1,301,,3444,875,2022-01-09
364,65796,Stayed,2022-01-09,2022-01-10,1,205,,2274,578,2022-01-09
622,74860,Cancelled,2022-01-11,2022-01-12,1,653,,2469,523,2022-01-09
155,76850,Stayed,2022-01-09,2022-01-10,1,874,,1104,281,2022-01-09
189,85876,Stayed,2022-01-14,2022-01-28,1,280,,25644,5425,2022-01-09
39,88392,Stayed,2022-01-13,2022-01-16,1,232,,9676,2047,2022-01-09
432,89811,Stayed,2022-01-09,2022-01-10,1,62,,1689,429,2022-01-09
124,106210,Cancelled,2022-01-19,2022-01-20,1,154,,2534,558,2022-01-09
246,119466,Cancelled,2022-01-11,2022-01-12,1,309,,2599,660,2022-01-09
342,126313,Stayed,2022-01-11,2022-01-12,1,296,,2989,784,2022-01-09
789,131261,Stayed,2022-01-09,2022-01-10,1,703,,4029,1023,2022-01-09
147,133399,Stayed,2022-01-18,2022-01-19,1,975,,2100,462,2022-01-09
207,137492,Stayed,2022-01-09,2022-01-10,1,635,,1754,446,2022-01-09
941,140493,No Show,2022-01-09,2022-01-10,2,162,,3765,956,2022-01-09
942,140493,Cancelled,2022-01-09,2022-01-10,1,162,,1882,477,2022-01-09
55,148274,Stayed,2022-01-16,2022-01-18,1,486,,4547,963,2022-01-09
360,153421,No Show,2022-01-12,2022-01-14,1,205,,5977,1315,2022-01-09
362,153421,No Show,2022-01-11,2022-01-12,1,205,,2501,656,2022-01-09
514,162890,Stayed,2022-01-09,2022-01-10,1,33,,1754,446,2022-01-09
437,177670,Cancelled,2022-01-09,2022-01-10,1,62,,1884,479,2022-01-09
824,187164,Stayed,2022-01-09,2022-01-10,1,758,,2859,726,2022-01-09
355,189468,Stayed,2022-01-17,2022-01-19,1,93,,4417,935,2022-01-09
27,193036,Stayed,2022-01-11,2022-01-13,1,88,,6092,1289,2022-01-09
602,195924,Cancelled,2022-01-09,2022-01-10,1,848,,2599,660,2022-01-09
603,195924,Cancelled,2022-01-09,2022-01-10,1,848,,2599,660,2022-01-09
268,2162,Stayed,2022-01-10,2022-01-11,1,31,,4159,1056,2022-01-10
250,7701,Stayed,2022-01-11,2022-01-12,1,557,,3574,756,2022-01-10
321,15767,Stayed,2022-01-14,2022-01-15,1,357,,3574,756,2022-01-10
288,19017,Stayed,2022-01-10,2022-01-11,1,397,,3379,858,2022-01-10
700,20026,Stayed,2022-01-10,2022-01-11,1,58,,3184,809,2022-01-10
45,24582,Stayed,2022-01-13,2022-01-14,1,152,,1949,413,2022-01-10
955,33926,Stayed,2022-01-15,2022-01-16,1,203,,2469,523,2022-01-10
968,43287,Stayed,2022-01-12,2022-01-13,1,685,,2014,426,2022-01-10
995,43500,Stayed,2022-01-16,2022-01-17,1,751,,5004,1058,2022-01-10
753,45089,Cancelled,2022-01-11,2022-01-12,1,522,,1884,398,2022-01-10
890,48699,Stayed,2022-01-11,2022-01-12,1,96,,5264,1381,2022-01-10
620,56421,Stayed,2022-01-11,2022-01-12,1,653,,2339,594,2022-01-10
138,67726,Stayed,2022-01-12,2022-01-13,1,612,,2339,495,2022-01-10
8,74628,Cancelled,2022-02-09,2022-02-10,1,252,,3054,646,2022-01-10
619,74860,Stayed,2022-01-11,2022-01-12,1,653,,2339,495,2022-01-10
574,75070,Cancelled,2022-01-10,2022-01-11,1,629,,2144,545,2022-01-10
864,81672,Cancelled,2022-01-10,2022-01-11,1,226,,2404,0,2022-01-10
965,83686,Stayed,2022-01-14,2022-01-15,1,574,,2404,508,2022-01-10
621,87764,Cancelled,2022-01-10,2022-01-11,1,653,,1884,479,2022-01-10
380,98338,Cancelled,2022-01-10,2022-01-11,1,462,,2924,767,2022-01-10
111,117378,Stayed,2022-01-11,2022-01-13,1,248,,5717,1210,2022-01-10
486,123820,Stayed,2022-01-11,2022-01-12,1,3,,2079,440,2022-01-10
262,128921,Cancelled,2022-01-10,2022-01-11,1,883,,1620,425,2022-01-10
606,136456,Stayed,2022-01-10,2022-01-11,1,131,,1559,396,2022-01-10
251,152290,Stayed,2022-01-10,2022-01-11,1,557,,2664,677,2022-01-10
261,159422,Stayed,2022-01-10,2022-01-11,1,883,,2102,534,2022-01-10
240,159675,No Show,2022-01-10,2022-01-11,2,315,,6237,1583,2022-01-10
978,162221,Cancelled,2022-01-16,2022-01-20,1,206,,14035,3088,2022-01-10
807,177898,Cancelled,2022-01-10,2022-01-11,1,628,,1495,380,2022-01-10
458,183557,Cancelled,2022-01-11,2022-01-12,1,74,,2599,660,2022-01-10
457,193175,Stayed,2022-01-10,2022-01-12,1,74,,4547,1154,2022-01-10
565,7970,Stayed,2022-01-11,2022-01-12,1,207,,1949,413,2022-01-11
